book_id,book_name,author
9024,acting for dummies,nicolas cage
3492,euro training for dummies,terry crews
2122,to kill a mockingbird,harper lee
9001,achieving super saiyan,terry crews
22,how to be a charger,terry crews
3999,the art of learning,josh waitzkin
8743,how to be a sweet cop,terry crews
3422,IEOR - master level,john burkingham
3242,42 wonderful spagetti recipes,merm
2394,game of thrones: book 1,george r.r. martin
1243,pro sniping 3,tony kampy
9240,war and peace,some dude
9211,1984,george orwell
4923,animal farm,george orwell
3923,jane eyre,jane smith
5929,invisible man,barack obama
2302,memories from the navy feel team,sergeant mcFeelz
3824,going HAM for derps,a cool dude
8141,I don’t read much,code writer
